               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.035087,            0.021139,            0.006669,             0.87906,             0.91595,             0.90428,             0.57191,            0.036994,            0.013888,           0.0042687,             0.00406,             0.00406,             0.00406
                  38,            0.036503,            0.021956,           0.0060894,             0.91446,             0.87424,             0.90168,             0.56778,            0.032077,            0.013986,           0.0041264,            0.003895,            0.003895,            0.003895
                  39,            0.034967,             0.02296,           0.0056096,              0.9736,             0.94762,             0.95593,             0.61193,            0.030549,            0.013504,           0.0040707,             0.00373,             0.00373,             0.00373
                  40,            0.031612,             0.02144,           0.0050561,             0.88772,             0.91667,             0.91039,             0.60882,            0.036424,            0.013916,           0.0036814,            0.003565,            0.003565,            0.003565
                  41,            0.033856,            0.021001,           0.0053592,             0.88908,             0.91667,              0.9057,             0.61789,            0.032525,            0.013919,           0.0035363,              0.0034,              0.0034,              0.0034
                  42,            0.033092,            0.020594,           0.0054286,              0.9787,             0.95833,             0.95601,             0.62545,            0.029064,            0.013437,           0.0034587,            0.003235,            0.003235,            0.003235
                  43,            0.027815,            0.021467,           0.0048897,             0.95788,             0.95652,             0.95601,             0.60293,            0.032184,            0.014067,           0.0032467,             0.00307,             0.00307,             0.00307
                  44,            0.030508,            0.021594,           0.0054463,              0.9762,             0.95519,             0.95588,             0.60659,            0.033492,            0.014319,            0.003031,            0.002905,            0.002905,            0.002905
                  45,            0.031016,            0.017684,           0.0048046,             0.97409,             0.95833,             0.95597,             0.66633,            0.026837,            0.013558,           0.0030013,             0.00274,             0.00274,             0.00274
                  46,            0.027904,            0.019227,            0.004382,             0.96888,             0.95833,             0.95594,             0.67418,            0.028138,            0.013847,           0.0028008,            0.002575,            0.002575,            0.002575
                  47,            0.028439,            0.021582,            0.004456,             0.96997,             0.95833,             0.95596,             0.68539,            0.027416,            0.013892,           0.0026162,             0.00241,             0.00241,             0.00241
                  48,            0.027766,            0.019627,            0.005496,             0.96797,             0.95833,             0.95605,             0.66179,            0.027695,            0.013843,           0.0025086,            0.002245,            0.002245,            0.002245
                  49,            0.026822,            0.018603,           0.0053765,             0.91813,             0.91667,             0.90174,             0.63022,            0.030375,            0.014064,           0.0023331,             0.00208,             0.00208,             0.00208
                  50,            0.028871,            0.016661,           0.0062901,             0.96775,             0.95833,             0.95601,              0.6714,            0.025737,            0.013784,           0.0022946,            0.001915,            0.001915,            0.001915
                  51,            0.026955,            0.020964,           0.0044731,             0.97295,             0.95833,             0.95605,             0.67031,            0.026731,            0.013752,            0.002216,             0.00175,             0.00175,             0.00175
                  52,            0.026379,            0.018785,           0.0047389,             0.97318,             0.95833,             0.95606,             0.68719,              0.0252,            0.013579,            0.002086,            0.001585,            0.001585,            0.001585
                  53,            0.024878,            0.018725,           0.0034211,             0.97608,             0.95833,              0.9561,             0.69544,             0.02504,            0.013475,            0.002028,             0.00142,             0.00142,             0.00142
                  54,            0.025522,            0.019046,           0.0066035,             0.97922,             0.95833,             0.95611,             0.68036,            0.025171,            0.013517,           0.0019638,            0.001255,            0.001255,            0.001255
                  55,            0.025618,            0.019098,           0.0043669,             0.98029,             0.95833,               0.956,             0.69416,            0.024905,             0.01362,           0.0019162,             0.00109,             0.00109,             0.00109
                  56,            0.023833,            0.017671,           0.0045256,              0.9805,             0.95833,             0.95606,             0.69829,            0.024041,            0.013435,           0.0019089,            0.000925,            0.000925,            0.000925
                  57,            0.024249,            0.019073,           0.0040691,             0.97997,             0.95833,             0.95604,             0.70026,            0.024516,            0.013444,           0.0018634,             0.00076,             0.00076,             0.00076
                  58,            0.025286,             0.01932,           0.0035282,             0.98258,             0.95688,             0.95607,             0.69652,            0.024682,            0.013371,           0.0018379,            0.000595,            0.000595,            0.000595
                  59,             0.02461,            0.017851,           0.0032638,             0.98269,             0.95732,             0.95613,             0.69122,            0.024661,             0.01332,           0.0018269,             0.00043,             0.00043,             0.00043
